system_type,response_time_ms,api_calls_count,ui_elements_count,user_interactions,error_rate,avg_session_duration_min,label
POS,202,319,12,249,0.0264,37,1
ERP,279,396,41,241,0.0173,54,0
CRM,192,202,45,215,0.0287,36,0
POS,114,382,26,164,0.0328,15,1
POS,206,134,12,528,0.0281,20,1
POS,171,158,19,409,0.0468,56,0
CRM,288,80,49,529,0.0214,30,1
POS,120,278,27,260,0.0365,26,0
CRM,202,289,12,405,0.0145,40,1
POS,221,427,48,460,0.0257,43,1
ERP,174,412,19,377,0.0396,22,1
ERP,187,359,18,395,0.019,32,1
POS,216,438,20,650,0.0336,10,1
POS,199,190,42,268,0.0161,13,0
CRM,203,205,45,558,0.0141,39,1
ERP,251,348,35,679,0.0309,40,0
POS,230,394,36,106,0.037,56,1
ERP,249,420,47,696,0.0145,25,1
CRM,152,148,31,231,0.0467,52,1
ERP,101,96,35,687,0.019,12,1
CRM,187,376,31,446,0.0148,21,0
CRM,257,471,14,695,0.0181,21,1
POS,137,116,44,352,0.0168,20,0
CRM,229,111,11,509,0.0136,25,0
ERP,291,158,44,642,0.0419,38,0
POS,287,216,18,454,0.0298,30,1
POS,120,86,27,663,0.0255,54,0
ERP,260,168,21,467,0.048,53,1
ERP,157,135,12,683,0.0248,51,0
POS,121,431,27,610,0.0167,52,0
POS,188,441,47,632,0.021,59,1
POS,148,101,16,627,0.0196,14,1
POS,158,140,42,627,0.0299,22,1
CRM,269,338,15,501,0.0217,26,0
CRM,287,386,27,274,0.0306,21,0
ERP,114,347,31,177,0.0368,26,1
ERP,289,253,48,539,0.0411,10,1
ERP,289,417,18,648,0.0384,17,1
CRM,274,287,44,331,0.0182,25,1
ERP,289,431,32,499,0.0146,24,1
ERP,150,204,21,312,0.0317,28,1
POS,207,289,33,292,0.018,34,0
POS,154,185,49,671,0.0134,40,0
CRM,163,456,18,366,0.0311,51,1
CRM,230,411,22,225,0.0231,11,0
POS,150,430,49,481,0.0402,34,0
POS,234,418,26,643,0.0226,40,1
ERP,120,113,16,601,0.0491,13,1
POS,172,172,26,502,0.0403,13,1
CRM,266,303,33,360,0.0123,21,0
POS,117,163,11,486,0.0304,26,1
ERP,231,69,44,511,0.0325,30,0
CRM,188,65,37,445,0.0378,38,0
POS,159,194,28,193,0.0299,31,0
CRM,113,257,42,427,0.0293,45,1
CRM,108,68,30,199,0.0247,49,1
POS,189,425,19,560,0.0209,25,0
POS,152,441,18,414,0.0478,24,0
ERP,229,215,47,124,0.0227,39,1
CRM,183,87,15,593,0.0125,55,1
CRM,191,230,44,452,0.0167,20,1
CRM,210,398,27,216,0.0443,22,1
ERP,287,154,28,298,0.0335,32,1
POS,298,149,14,378,0.0412,49,0
POS,271,139,34,681,0.0424,50,1
POS,107,464,20,178,0.0429,43,1
ERP,274,349,19,523,0.032,29,0
POS,134,493,26,453,0.0171,11,1
ERP,180,381,45,625,0.0159,17,1
CRM,263,450,35,640,0.033,27,1
ERP,149,128,40,576,0.0247,16,0
POS,203,122,41,109,0.0323,52,0
POS,231,472,30,658,0.0299,40,1
POS,101,475,27,602,0.0341,31,0
POS,233,225,27,359,0.0113,37,0
CRM,153,445,10,623,0.0113,34,1
CRM,205,145,23,695,0.0389,10,1
CRM,103,394,17,105,0.0177,41,1
ERP,153,152,11,134,0.0361,34,1
CRM,290,451,24,274,0.0319,57,0
POS,245,273,43,541,0.0493,25,0
POS,143,55,45,676,0.0434,38,0
POS,261,171,10,246,0.0265,51,0
ERP,289,285,30,668,0.0347,33,0
POS,113,476,10,292,0.0147,26,0
